GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4
 "04000","Arizona",6,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.390,97.311,99.534,99.971,102.143,102.480,103.740,105.054,105.114,105.988,107.051,106.624,105.800,105.006,103.400,99.493,96.373,94.743,93.970,95.222,94.141,95.598,96.582,97.571,97.176,97.533,97.867,99.855,99.882,100.279,99.833,100.006,100.453,100.374,100.681,101.266,101.322,101.733,102.492,102.487,103.605,104.427,104.280,105.491,105.982,107.461,108.759,109.020,110.131,110.587,112.503,113.171,114.694,115.442,116.966,117.629,118.568,119.429,120.129,121.107
 "04000","Arizona",6,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",219858.1,225360.6,232317.0,235388.9,242446.7,245035.7,250166.7,255273.5,257952.0,261341.6,265246.0,264748.5,262590.9,261815.6,259923.5,253136.8,246491.2,242639.5,241157.0,245430.0,243046.2,246941.1,249806.6,253045.9,253385.8,255954.1,258524.2,263927.2,266136.4,268498.6,268334.3,270186.0,272513.9,273510.7,275886.9,278884.8,279952.2,282801.6,286664.1,288302.0,292638.8,296703.9,297624.0,301597.9,303204.1,309686.4,314650.2,316823.4,321355.3,323650.6,330533.4,334443.7,340672.6,345474.0,351708.8,355332.9,359404.7,364276.6,368556.3,372521.8
 "05000","Arkansas",5,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",103203.5,103855.9,104669.7,106884.1,106395.5,107870.8,107027.0,106466.6,104012.0,104804.5,105157.4,110647.4,105342.5,107095.3,106312.9,104413.4,104374.7,100814.3,101822.9,103100.7,102390.4,105671.3,107690.6,107937.6,107680.5,107986.7,108225.1,109289.4,109885.7,109333.7,108271.8,107489.4,111764.7,111518.5,112248.3,111584.1,111782.6,112689.9,113228.7,114027.1,112721.8,113533.7,114586.3,114601.9,114283.1,114751.7,114285.6,114844.3,115234.6,115324.7,114851.7,115975.9,116256.2,117337.1,117606.1,117975.7,118447.2,118975.1,119815.6,120535.7
 "05000","Arkansas",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.904,95.504,96.252,98.289,97.839,99.196,98.420,97.905,95.648,96.376,96.701,101.749,96.871,98.483,97.763,96.017,95.981,92.707,93.634,94.809,94.156,97.173,99.030,99.257,99.021,99.303,99.522,100.500,101.049,100.541,99.565,98.845,102.777,102.550,103.221,102.611,102.793,103.628,104.123,104.857,103.657,104.403,105.371,105.386,105.093,105.523,105.095,105.609,105.968,106.050,105.615,106.649,106.907,107.901,108.148,108.488,108.922,109.407,110.180,110.842
 "05000","Arkansas",5,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",87649.0,88454.8,89852.8,92483.4,92757.3,94743.5,94987.3,95050.0,94053.5,95510.3,96413.5,101815.4,97293.1,99762.3,100111.0,98654.9,98619.2,95161.5,96293.3,98161.7,97882.2,101230.4,103464.0,104183.4,104700.8,105675.0,106550.9,107414.8,108827.2,108904.2,108637.4,108611.9,113600.4,113641.8,114896.5,114867.1,115548.5,117137.0,117906.1,118755.4,116942.0,118357.4,119892.3,119853.2,119224.5,120533.6,120347.4,121393.7,122495.4,122930.1,123059.0,125047.7,126088.8,128352.5,129032.8,130201.5,131038.0,132438.3,134022.1,135225.0
 "06000","California",8,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",1959066.5,1976140.0,2004193.3,2021163.3,2069332.5,2061917.5,2072917.1,2084540.9,2076506.4,2090690.9,2107585.8,2139689.7,2104242.5,2143260.1,2136132.5,2060916.7,2051876.7,2021683.6,2012391.0,2019996.4,2039956.4,2046441.8,2051596.0,2094557.2,2087613.5,2093296.2,2086044.5,2099389.7,2128351.3,2131485.9,2143333.6,2174818.2,2175979.6,2196899.0,2228019.2,2282572.8,2264782.4,2294764.7,2340202.2,2350411.0,2396326.0,2437555.5,2439686.8,2440825.2,2478530.1,2484499.7,2510596.8,2530175.1,2557629.3,2592698.4,2624367.1,2668034.2,2681388.1,2720177.3,2732524.9,2752513.7,2771273.1,2784467.2,2798677.2,2813699.0
 "06000","California",8,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.353,92.149,93.457,94.249,96.495,96.149,96.662,97.204,96.830,97.491,98.279,99.776,98.123,99.942,99.610,96.103,95.681,94.273,93.840,94.194,95.125,95.428,95.668,97.671,97.347,97.612,97.274,97.897,99.247,99.393,99.946,101.414,101.468,102.444,103.895,106.439,105.609,107.007,109.126,109.602,111.743,113.666,113.765,113.818,115.576,115.855,117.072,117.985,119.265,120.900,122.377,124.413,125.036,126.845,127.420,128.352,129.227,129.842,130.505,131.206
 "06000","California",8,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",1711573.3,1734383.7,1771679.5,1797828.4,1852200.0,1859177.9,1883269.3,1904301.9,1916188.9,1940770.5,1966137.7,2000327.0,1971753.2,2012750.2,2019835.1,1958374.3,1946951.6,1912526.5,1903464.3,1917304.9,1942648.5,1959030.0,1972332.3,2024447.3,2030621.9,2047761.8,2054554.0,2067289.5,2110366.4,2125748.5,2149461.7,2192412.4,2203605.7,2231370.7,2273105.2,2343003.1,2329114.5,2372268.1,2429647.3,2449619.5,2503944.7,2559187.2,2574128.9,2577828.2,2618837.1,2637628.3,2672126.3,2702598.9,2744565.4,2791563.5,2838905.5,2901408.2,2928096.5,2992622.8,3017340.5,3052871.3,3087669.4,3123731.5,3155223.7,3183251.3
 "08000","Colorado",7,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",249467.8,250972.5,252697.5,250220.8,255571.0,254130.1,257421.7,257374.5,258827.4,262964.8,265471.8,271044.1,267228.7,269341.2,268907.9,265375.0,264524.2,260203.4,262000.8,262790.9,261501.9,262484.5,265239.9,269938.0,267042.9,267947.6,268472.0,271260.6,272093.8,273699.9,273020.4,275264.0,279927.2,280218.7,283450.4,286539.2,288895.0,292794.7,297534.6,303570.0,306561.9,307933.6,310146.3,312076.7,311142.0,314133.1,319164.0,322568.0,323960.3,326787.8,332138.4,335408.4,336142.0,340405.5,342943.1,344816.3,349449.0,351997.1,354299.5,356560.8
 "08000","Colorado",7,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.207,91.757,92.387,91.482,93.438,92.911,94.115,94.097,94.629,96.141,97.058,99.095,97.700,98.472,98.314,97.022,96.711,95.132,95.789,96.078,95.606,95.966,96.973,98.691,97.632,97.963,98.155,99.174,99.479,100.066,99.818,100.638,102.343,102.449,103.631,104.760,105.621,107.047,108.780,110.987,112.080,112.582,113.391,114.097,113.755,114.849,116.688,117.932,118.441,119.475,121.431,122.627,122.895,124.454,125.382,126.066,127.760,128.692,129.534,130.360
