"","ï..Demographic","January..17","February..17","March..17","April..17","May..17","June..17","July..17","August..17","September..17","October..17","November..17","December..17","January..18","February..18","March..18","April..18","May..18","June..18","July..18","August..18","September..18","October..18","November..18","December..18","January..19","February..19","March..19","April..19","May..19","June..19","July..19","August..19","September..19","October..19","November..19","December..19","January..20","February..20"
"1","","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval","Disapproval"
"39","Oregon","43","47","49","49","53","54","56","57","56","58","58","58","57","56","59","59","58","57","58","60","58","57","58","59","59","59","57","59","59","58","58","59","60","61","60","58","56","59"
"40","Pennsylvania","39","43","43","44","48","49","50","52","51","51","52","51","49","50","52","51","50","51","51","51","52","51","51","51","53","52","52","52","52","53","52","53","52","53","52","51","49","49"
"41","Rhode Island","46","50","51","50","53","57","54","62","60","61","60","59","59","61","59","59","60","57","59","59","61","57","56","57","58","58","58","59","58","59","58","59","58","60","59","60","58","57"
"42","South Carolina","31","34","36","37","45","45","43","44","44","43","44","45","44","40","42","42","41","41","42","42","41","40","42","43","44","42","42","43","43","44","43","43","45","44","44","46","42","42"
"43","South Dakota","33","38","33","33","38","43","44","44","43","43","44","42","43","43","42","42","41","41","41","41","45","41","40","40","45","46","42","43","45","46","43","46","48","45","47","46","44","44"
"44","Tennessee","28","35","34","35","41","40","42","41","42","42","42","42","39","39","41","40","38","40","40","39","38","38","36","40","42","40","40","39","40","40","38","39","42","40","40","41","39","40"
"45","Texas","34","37","36","40","41","44","44","45","44","46","47","46","44","44","46","45","45","43","44","45","45","44","44","45","48","46","46","46","46","46","45","46","47","47","46","48","45","45"
"46","Utah","31","36","38","39","43","40","46","44","43","47","50","52","49","49","51","50","48","48","49","46","50","49","46","46","51","47","48","46","47","47","47","48","50","50","47","45","44","43"
"47","Vermont","45","55","52","52","59","59","62","62","62","64","65","63","66","66","64","61","61","59","61","64","63","61","61","64","66","65","65","67","66","63","63","65","65","66","70","66","65","68"
"48","Virginia","41","42","44","46","43","45","49","53","53","51","51","50","49","49","52","51","51","50","51","51","50","50","50","49","53","51","50","51","51","50","50","52","52","52","52","51","50","51"
"49","Washington","44","48","50","50","51","53","55","60","58","62","60","60","59","60","60","62","59","59","60","60","61","59","59","59","61","62","62","61","63","62","62","63","63","62","63","61","61","62"
"50","West Virginia","25","32","34","32","36","41","41","41","36","35","37","36","37","37","35","34","35","36","33","32","33","35","33","35","36","37","36","38","39","39","39","38","39","39","39","38","38","37"
"51","Wisconsin","41","46","48","47","52","53","54","55","53","56","55","55","54","53","54","55","54","55","56","54","56","52","53","54","56","55","54","55","55","56","55","55","54","57","55","53","53","54"
"52","Wyoming","23","28","23","27","29","32","31","36","35","31","36","33","35","32","32","35","34","36","32","31","34","32","30","32","33","35","34","34","37","37","37","37","41","35","31","34","35","35"
